"workerid","occludeUtterance","occludeWheel","utteranceID","utterance","spinnerID","payoff1","payoff2","payoff3","prob1","prob2","prob3","win","winProb","angleProp","EV","PE","absPE","happy","sad","anger","surprise","disgust","fear","content","disapp"
16,0,1,1,"cool",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,3,4,2,2,8,1
92,0,1,4,"wow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,3,6,3,3,3,4
87,0,1,8,"dang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,1,1,1,1,1,9
110,0,1,5,"man",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,1,5,5
95,0,1,1,"cool",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,1,8,1,1,8,1
67,0,1,6,"oh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,1,1,9,1,1,9
83,0,1,4,"wow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,2,6,2,1,5,3
70,0,1,5,"man",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,6,1,5,1,3,9
150,0,1,6,"oh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,1,3,1,1,9
115,0,1,10,"yikes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,1,7,1,1,6,3
148,0,1,6,"oh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,5,5,3,6,5,5
51,0,1,10,"yikes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,4,2,1,5,4
29,0,1,6,"oh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,6,6,2,2,3,7
120,0,1,6,"oh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,1,3,1,6,2,3
106,0,1,9,"meh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,2,2,1,4,9
7,0,1,1,"cool",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,2,3,1,1,7,2
146,0,1,8,"dang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,3,3,4,3,5
71,0,1,1,"cool",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,1,9,1,1,9,1
128,0,1,6,"oh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,5,1,1,1,1
65,0,1,1,"cool",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,1,7,1,1,1,1
49,0,1,1,"cool",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,2,6,2,2,8,2
23,0,1,4,"wow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,1,8,2,2,8,1
74,0,1,6,"oh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,2,7,9,1,1,5
32,0,1,10,"yikes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,4,7,3,2,1,9
14,0,1,6,"oh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,8,2,9,2,4,5
81,0,1,7,"damn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,8,1,8,1,1,9
135,0,1,5,"man",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,1,4,1,1,7,1
96,0,1,2,"awesome",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,1,7,1,1,1,1
123,0,1,7,"damn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,5,3,1,3,7
136,0,1,1,"cool",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,2,6,3,2,6,3
89,0,1,2,"awesome",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,1,6,1,1,8,1
42,0,1,7,"damn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,5,7,1,1,8
50,0,1,4,"wow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,1,9,1,1,9,1
131,0,1,8,"dang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,6,6,6,1,4,8
57,0,1,10,"yikes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,5,1,1,1,4,3
36,0,1,5,"man",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,2,1,5,7
116,0,1,6,"oh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,3,3,2,4,3
13,0,1,7,"damn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,8,5,7,1,1,8
102,0,1,10,"yikes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,6,3,1,1,5
39,0,1,9,"meh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,2,2,1,7,5
125,0,1,10,"yikes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,2,4,7,1,2,8
111,0,1,10,"yikes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,1,1,5,1,3,9
35,0,1,9,"meh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,3,4,5,1,1,8
60,0,1,1,"cool",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,1,6,1,1,6,1
47,0,1,10,"yikes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,3,1,4,4
43,0,1,6,"oh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,5,5,5,6,5,4
142,0,1,4,"wow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,1,9,1,1,4,1
124,0,1,4,"wow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,1,6,1,1,5,1
16,0,1,10,"yikes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,3,5,2,3,1,5
92,0,1,1,"cool",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,2,6,2,2,6,2
110,0,1,6,"oh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,1,5,5
133,0,1,6,"oh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,2,5,4,1,1,8
33,0,1,8,"dang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,4,2,1,1,9
28,0,1,1,"cool",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,1,5,1,1,4,7
129,0,1,5,"man",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,7,5,4,1,2,9
115,0,1,5,"man",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,6,5,6,1,4,7
40,0,1,7,"damn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,9,9,9,9,1,9
51,0,1,5,"man",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,8,5,4,5,3,6,3
29,0,1,10,"yikes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,6,6,5,1,1,9
119,0,1,4,"wow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,1,9,1,1,9,1
141,0,1,10,"yikes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,2,7,1,1,1,6
128,0,1,4,"wow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,1,8,1,1,1,1
107,0,1,5,"man",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,7,2,9,1,1,9
