"workerid","occludeUtterance","occludeWheel","utteranceID","utterance","spinnerID","payoff1","payoff2","payoff3","prob1","prob2","prob3","win","winProb","angleProp","EV","PE","absPE","happy","sad","anger","surprise","disgust","fear","content","disapp"
9,1,0,NA,NA,9,15,70,80,0.45,0.29,0.26,80,0.26,0.049,47.85,32.15,32.15,9,1,1,9,1,1,9,1
5,1,0,NA,NA,9,15,70,80,0.45,0.29,0.26,80,0.26,0.362,47.85,32.15,32.15,8,1,1,7,1,1,8,1
61,1,0,NA,NA,41,0,40,95,0.27,0.4,0.33,40,0.4,0.027,47.35,-7.35,7.35,5,1,1,1,1,1,6,1
103,1,0,NA,NA,14,30,50,95,0.33,0.29,0.38,50,0.29,0.129,60.5,-10.5,10.5,6,1,1,4,1,1,6,1
100,1,0,NA,NA,24,20,60,90,0.33,0.2,0.47,90,0.47,0.496,60.9,29.1,29.1,9,1,1,9,1,1,9,1
3,1,0,NA,NA,14,30,50,95,0.33,0.29,0.38,50,0.29,0.77,60.5,-10.5,10.5,7,1,1,4,1,1,7,4
26,1,0,NA,NA,32,45,60,90,0.52,0.29,0.19,60,0.29,0.175,57.9,2.1,2.1,7,1,1,7,1,4,7,3
76,1,0,NA,NA,9,15,70,80,0.45,0.29,0.26,80,0.26,0.696,47.85,32.15,32.15,9,1,1,7,1,1,9,1
25,1,0,NA,NA,41,0,40,95,0.27,0.4,0.33,40,0.4,0.114,47.35,-7.35,7.35,6,3,3,3,3,2,7,3
68,1,0,NA,NA,12,20,45,70,0.4,0.34,0.26,70,0.26,0.083,41.5,28.5,28.5,9,1,1,7,1,1,8,1
121,1,0,NA,NA,9,15,70,80,0.45,0.29,0.26,80,0.26,0.111,47.85,32.15,32.15,9,1,1,8,1,1,9,1
78,1,0,NA,NA,9,15,70,80,0.45,0.29,0.26,80,0.26,0.54,47.85,32.15,32.15,9,1,1,9,1,1,1,1
1,1,0,NA,NA,12,20,45,70,0.4,0.34,0.26,70,0.26,0.02,41.5,28.5,28.5,9,1,1,1,1,1,9,1
87,1,0,NA,NA,47,55,70,85,0.28,0.51,0.21,70,0.51,0.155,68.95,1.05,1.05,7,1,1,5,1,1,1,3
67,1,0,NA,NA,9,15,70,80,0.45,0.29,0.26,80,0.26,0.883,47.85,32.15,32.15,9,1,1,8,1,1,9,1
140,1,0,NA,NA,47,55,70,85,0.28,0.51,0.21,70,0.51,0.656,68.95,1.05,1.05,8,2,2,4,1,1,9,3
83,1,0,NA,NA,47,55,70,85,0.28,0.51,0.21,70,0.51,0.408,68.95,1.05,1.05,9,1,1,9,1,1,8,1
19,1,0,NA,NA,24,20,60,90,0.33,0.2,0.47,90,0.47,0.229,60.9,29.1,29.1,9,2,2,7,3,3,9,4
134,1,0,NA,NA,9,15,70,80,0.45,0.29,0.26,80,0.26,0.465,47.85,32.15,32.15,9,1,1,9,1,1,9,1
70,1,0,NA,NA,1,0,30,60,0.38,0.36,0.26,0,0.38,0.727,26.4,-26.4,26.4,1,9,9,6,8,1,7,9
